 0.90  180.00   2.697904  0.25000
 0.91  180.00   2.969286  0.25000
 0.91  180.00   3.259910  0.25000
 0.91  180.00   3.763639  0.25000
 0.91  180.00   4.102660  0.25000
 0.92  180.00   4.373897  0.25000
 0.92  180.00   4.867940  0.25000
 0.92  180.00   4.567694  0.25000
 0.93  180.00   4.151299  0.25000
 0.93  180.00   3.889781  0.25000
 0.93  180.00   3.579882  0.25000
 0.93  180.00   3.299041  0.25000
 0.95  180.00   2.814958  0.25000
 0.97  180.00   2.660436  0.25000
 1.01  180.00   2.544738  0.25000
 1.03  180.00   2.419258  0.25000
 1.04  180.00   2.429072  0.25000
 1.07  180.00   2.419871  0.25000
 1.09  180.00   2.575119  0.25000
 1.09  180.00   3.630974  0.25000
 1.09  180.00   3.127310  0.25000
 1.09  180.00   2.827048  0.25000
 1.10  180.00   2.439694  0.25000
 1.12  180.00   2.362611  0.25000
 1.17  180.00   2.489253  0.25000
 1.19  180.00   2.489624  0.25000
 1.23  180.00   2.335361  0.25000
 1.28  180.00   2.423324  0.25000
 1.35  180.00   2.356572  0.25000
 1.38  180.00   2.279698  0.25000
 1.42  180.00   2.309256  0.25000
 1.42  180.00   2.251254  0.25000
 1.47  180.00   2.232673  0.25000
 1.48  180.00   2.223116  0.25000
 1.51  180.00   2.184938  0.25000
 1.55  180.00   2.233932  0.25000
 1.56  180.00   2.563477  0.25000
 1.56  180.00   2.970299  0.25000
 1.56  180.00   2.389180  0.25000
 1.57  180.00   2.166470  0.25000
 1.59  180.00   2.060280  0.25000
 1.60  180.00   2.176753  0.25000
 1.62  180.00   2.118815  0.25000
 1.64  180.00   2.148244  0.25000
 1.67  180.00   2.042135  0.25000
 1.69  180.00   2.071548  0.25000
 1.73  180.00   2.052821  0.25000
 1.73  180.00   2.023796  0.25000
 1.75  180.00   2.024119  0.25000
 1.77  180.00   2.053548  0.25000
 1.80  180.00   2.024926  0.25000
